Ref,Value,Footprint,Description
Q1,"MM75GAU65BKX","Package_TO_SOT_THT:TO-247-4_Vertical","SiC IGBT Kelvin source, 75A 650V"
U1,"HCPL-3120","Package_DIP:DIP-8_W7.62mm","Isolated gate driver, 2.5A peak"
D1,"C3D30065D","Package_TO_SOT_THT:TO-220-3_Vertical","SiC Schottky FW diode, 30A 650V (A-K-A)"
D2,"SMBJ18CA","Diode_SMD:D_SMB","Gate clamp TVS, bidirectional 18V"
C1,"0.47uF/600V","Capacitor_THT:C_Rect_L18.0mm_W5.0mm_P15.00mm","Pulse cap snubber, 600VAC"
C2,"0.1uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","X7R ceramic decap for U1"
C3,"10uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Bulk decap for U1"
R1,"180R/0.25W","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","RPi input current limiter"
R2,"10R/2W","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Vertical_L7.0mm","Gate series resistor"
R3,"1.5k/1W","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Gate-Emitter pulldown"
R4,"20R/30W_pulse","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","MP930 snubber damper"
R5,"Brake_R","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","Optional braking R / bus-bar jumper"
J1,"RPi_Input","Connector_PinHeader_5.08mm:PinHeader_1x02_P5.08mm_Vertical","2-pos screw terminal, RPi GPIO + GND"
J2,"+15V","TerminalBlock:TerminalBlock_bornier-1_P5.08mm","Isolated +15V driver supply input"
J3,"Vee","TerminalBlock:TerminalBlock_bornier-1_P5.08mm","Driver Vee / KELVIN_RETURN"
J4,"PSU-_16AWG","TestPoint:TestPoint_THTPad_D4.0mm_Drill3.2mm","Cap-bank (-) 16 AWG"
J5,"Load-_16AWG","TestPoint:TestPoint_THTPad_D4.0mm_Drill3.2mm","Load (-) 16 AWG"
TP1,"TP_VCC","TestPoint:TestPoint_Pad_D1.5mm",""
TP2,"TP_VEE","TestPoint:TestPoint_Pad_D1.5mm",""
TP3,"TP_GATE","TestPoint:TestPoint_Pad_D1.5mm",""
TP4,"TP_KE","TestPoint:TestPoint_Pad_D1.5mm",""
TP5,"TP_COL","TestPoint:TestPoint_Pad_D1.5mm",""
TP6,"TP_FBK","TestPoint:TestPoint_Pad_D1.5mm",""
TP7,"TP_PGND_A","TestPoint:TestPoint_Pad_D1.5mm",""
TP8,"TP_PGND_B","TestPoint:TestPoint_Pad_D1.5mm",""
TP9,"TP_PGND_C","TestPoint:TestPoint_Pad_D1.5mm",""
